Controller,Input,Set,Height,CentreX,Left Base,Right Base,Left Top,Right Top
110,0,0,1,0,0,419,0,222
110,0,1,1,500,365,385,200,200
110,0,2,1,1000,387,0,227,0
110,1,0,1,-30,0,24,0,9
110,1,1,1,0,20,22,12,14
110,1,2,1,30,24,0,12,0
111,0,0,1,0,0,419,0,227
111,0,1,1,500,331,419,200,200
111,0,2,1,1000,387,0,227,0
111,1,0,1,-30,0,24,0,9
111,1,1,1,0,21,21,12,14
111,1,2,1,30,24,0,12,0
112,0,0,1,0,0,365,0,195
112,0,1,1,500,440,424,172,247
112,0,2,1,1000,465,0,137,0
112,1,0,1,-30,0,22,0,13
112,1,1,1,0,24,21,9,10
112,1,2,1,30,25,0,14,0
113,0,0,1,0,0,407,0,184
113,0,1,1,500,408,425,126,185
113,0,2,1,1000,343,0,208,0
113,1,0,1,-30,0,22,0,10
113,1,1,1,0,26,21,11,13
113,1,2,1,30,25,0,11,0
114,0,0,1,0,0,406,0,194
114,0,1,1,500,354,401,117,228
114,0,2,1,1000,422,0,166,0
114,1,0,1,-30,0,21,0,10
114,1,1,1,0,26,26,10,10
114,1,2,1,30,25,0,10,0
115,0,0,1,0,0,407,0,179
115,0,1,1,500,421,438,126,185
115,0,2,1,1000,371,0,208,0
115,1,0,1,-30,0,24,0,9
115,1,1,1,0,25,23,10,12
115,1,2,1,30,24,0,11,0
116,0,0,1,0,0,412,0,156
116,0,1,1,500,365,359,188,234
116,0,2,1,1000,435,0,216,0
116,1,0,1,-30,0,24,0,9
116,1,1,1,0,21,21,11,13
116,1,2,1,30,24,0,12,0
117,0,0,1,0,0,447,0,190
117,0,1,1,500,401,436,159,180
117,0,2,1,1000,383,0,164,0
117,1,0,1,-30,0,22,0,10
117,1,1,1,0,24,25,11,7
117,1,2,1,30,24,0,10,0
118,0,0,1,0,0,412,0,156
118,0,1,1,500,365,359,188,234
118,0,2,1,1000,416,0,216,0
118,1,0,1,-30,0,24,0,9
118,1,1,1,0,21,21,12,14
118,1,2,1,30,24,0,12,0
119,0,0,1,0,0,407,0,179
119,0,1,1,500,408,425,126,185
119,0,2,1,1000,340,0,208,0
119,1,0,1,-30,0,21,0,9
119,1,1,1,0,25,23,10,12
119,1,2,1,30,25,0,12,0
120,0,0,1,0,0,412,0,156
120,0,1,1,500,365,359,225,197
120,0,2,1,1000,427,0,216,0
120,1,0,1,-30,0,22,0,14
120,1,1,1,0,24,26,11,13
120,1,2,1,30,26,0,13,0
121,0,0,1,0,0,375,0,178
121,0,1,1,500,374,429,226,194
121,0,2,1,1000,409,0,170,0
121,1,0,1,-30,0,25,0,9
121,1,1,1,0,21,25,13,14
121,1,2,1,30,22,0,14,0
122,0,0,1,0,0,419,0,222
122,0,1,1,500,365,385,200,200
122,0,2,1,1000,365,0,227,0
122,1,0,1,-30,0,24,0,9
122,1,1,1,0,25,23,10,12
122,1,2,1,30,26,0,11,0
123,0,0,1,0,0,419,0,222
123,0,1,1,500,331,419,200,200
123,0,2,1,1000,387,0,227,0
123,1,0,1,-30,0,24,0,9
123,1,1,1,0,21,21,12,14
123,1,2,1,30,24,0,12,0
124,0,0,1,0,0,361,0,151
124,0,1,1,500,362,373,174,280
124,0,2,1,1000,396,0,220,0
124,1,0,1,-30,0,22,0,13
124,1,1,1,0,24,21,9,10
124,1,2,1,30,25,0,14,0
125,0,0,1,0,0,415,0,169
125,0,1,1,500,375,354,202,245
125,0,2,1,1000,410,0,208,0
