Controller,Rule,Input Variable 1,Input Set 1,Modifier,Input Variable 2,Input Set 2,Output Value
63,1,0,0,AND,1,1,1.91137
63,2,0,0,AND,1,2,8.0398
63,3,0,1,AND,1,0,6.50533
63,4,0,1,AND,1,1,2.53609
63,5,0,1,AND,1,2,1.42308
63,6,0,2,AND,1,0,0.432752
63,7,0,2,AND,1,1,1.93731
63,8,0,2,AND,1,2,2.83425
64,0,0,0,AND,1,0,6.14002
64,1,0,0,AND,1,1,1.91137
64,2,0,0,AND,1,2,8.0398
64,3,0,1,AND,1,0,6.50533
64,4,0,1,AND,1,1,2.53609
64,5,0,1,AND,1,2,1.42308
64,6,0,2,AND,1,0,1.35136
64,7,0,2,AND,1,1,0.711386
64,8,0,2,AND,1,2,1.33061
65,0,0,0,AND,1,0,6.14002
65,1,0,0,AND,1,1,1.91137
65,2,0,0,AND,1,2,8.0398
65,3,0,1,AND,1,0,6.50533
65,4,0,1,AND,1,1,2.53609
65,5,0,1,AND,1,2,1.42308
65,6,0,2,AND,1,0,0.432752
65,7,0,2,AND,1,1,1.54118
65,8,0,2,AND,1,2,5.56169
66,0,0,0,AND,1,0,6.14002
66,1,0,0,AND,1,1,1.91137
66,2,0,0,AND,1,2,8.0398
66,3,0,1,AND,1,0,6.50533
66,4,0,1,AND,1,1,2.53609
66,5,0,1,AND,1,2,1.42308
66,6,0,2,AND,1,0,0.432752
66,7,0,2,AND,1,1,0.340587
66,8,0,2,AND,1,2,0.797449
67,0,0,0,AND,1,0,8.40175
67,1,0,0,AND,1,1,2.87301
67,2,0,0,AND,1,2,9.03867
67,3,0,1,AND,1,0,6.50533
67,4,0,1,AND,1,1,2.53609
67,5,0,1,AND,1,2,1.42308
67,6,0,2,AND,1,0,0.432752
67,7,0,2,AND,1,1,0.280465
67,8,0,2,AND,1,2,6.55477
68,0,0,0,AND,1,0,8.40175
68,1,0,0,AND,1,1,2.87301
68,2,0,0,AND,1,2,9.03867
68,3,0,1,AND,1,0,6.60634
68,4,0,1,AND,1,1,3.4315
68,5,0,1,AND,1,2,2.6719
68,6,0,2,AND,1,0,9.1757
68,7,0,2,AND,1,1,1.15879
68,8,0,2,AND,1,2,3.20383
69,0,0,0,AND,1,0,8.40175
69,1,0,0,AND,1,1,2.87301
69,2,0,0,AND,1,2,9.03867
69,3,0,1,AND,1,0,6.60634
69,4,0,1,AND,1,1,2.52876
69,5,0,1,AND,1,2,2.80801
69,6,0,2,AND,1,0,4.10779
69,7,0,2,AND,1,1,1.29521
69,8,0,2,AND,1,2,2.73263
70,0,0,0,AND,1,0,6.14002
70,1,0,0,AND,1,1,1.91137
70,2,0,0,AND,1,2,8.0398
70,3,0,1,AND,1,0,6.50533
70,4,0,1,AND,1,1,2.53609
70,5,0,1,AND,1,2,1.42308
70,6,0,2,AND,1,0,0.432752
70,7,0,2,AND,1,1,1.00314
70,8,0,2,AND,1,2,8.19483
71,0,0,0,AND,1,0,8.40175
71,1,0,0,AND,1,1,2.87301
71,2,0,0,AND,1,2,9.03867
71,3,0,1,AND,1,0,6.60634
71,4,0,1,AND,1,1,1.35807
71,5,0,1,AND,1,2,2.6719
71,6,0,2,AND,1,0,7.98425
71,7,0,2,AND,1,1,1.26011
71,8,0,2,AND,1,2,5.44114
72,0,0,0,AND,1,0,6.14002
72,1,0,0,AND,1,1,1.91137
72,2,0,0,AND,1,2,8.0398
72,3,0,1,AND,1,0,6.50533
72,4,0,1,AND,1,1,2.53609
72,5,0,1,AND,1,2,1.42308
72,6,0,2,AND,1,0,0.432752
72,7,0,2,AND,1,1,0.280465
72,8,0,2,AND,1,2,8.11518
73,0,0,0,AND,1,0,8.40175
73,1,0,0,AND,1,1,2.87301
73,2,0,0,AND,1,2,9.03867
73,3,0,1,AND,1,0,6.60634
73,4,0,1,AND,1,1,2.53609
73,5,0,1,AND,1,2,1.42308
73,6,0,2,AND,1,0,0.432752
73,7,0,2,AND,1,1,0.280465
73,8,0,2,AND,1,2,3.76171
74,0,0,0,AND,1,0,6.14002
74,1,0,0,AND,1,1,1.91137
74,2,0,0,AND,1,2,8.0398
74,3,0,1,AND,1,0,6.50533
74,4,0,1,AND,1,1,2.53609
74,5,0,1,AND,1,2,1.42308
74,6,0,2,AND,1,0,0.432752
74,7,0,2,AND,1,1,1.00314
74,8,0,2,AND,1,2,6.6039
75,0,0,0,AND,1,0,8.40175
75,1,0,0,AND,1,1,2.87301
75,2,0,0,AND,1,2,9.03867
75,3,0,1,AND,1,0,9.19217
75,4,0,1,AND,1,1,3.61034
75,5,0,1,AND,1,2,3.3607
75,6,0,2,AND,1,0,6.06403
75,7,0,2,AND,1,1,1.53874
75,8,0,2,AND,1,2,2.21961
76,0,0,0,AND,1,0,8.40175
76,1,0,0,AND,1,1,2.87301
76,2,0,0,AND,1,2,9.03867
